Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Power Effeciency [GFlops/Watts],Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent,Site ID,System ID
12,9.0,48,6,Oakforest-PACS,"PRIMERGY CX1640 M1, Intel Xeon Phi 7250 68C 1.4GHz, Intel Omni-Path",Joint Center for Advanced High Performance Computing,Fujitsu,Japan,2016,Academic,556104,,13554.6,24913.459,9938880.0,,385.479,2718.7,Submitted,4.986,Cluster,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400,Linux,Linux,None,68,Intel Xeon Phi,PRIMERGY CX1640 M1,Fujitsu Cluster,Omnipath,Intel Omni-Path,Eastern Asia,Asia,50673,178932
15,12.0,49,12,Stampede2,"PowerEdge C6320P/C6420, Intel Xeon Phi 7250 68C 1.4GHz/Platinum 8160, Intel Omni-Path",Texas Advanced Computing Center/Univ. of Texas,Dell EMC,United States,2017,Academic,367024,,10680.7,18309.222,8242944.0,,,,,,Cluster,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400,CentOS,Linux,None,68,Intel Xeon Phi,PowerEdge C6320P,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,North America,Americas,48958,179045
18,14.0,48,12,Marconi Intel Xeon Phi,"CINECA Cluster, Lenovo SD530/S720AP, Intel Xeon Phi 7250 68C 1.4GHz/Platinum 8160, Intel Omni-Path",CINECA,Lenovo,Italy,2016,Academic,312936,,8413.06,16212.93,7415184.0,,68.624,,,,Cluster,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400,Linux,Linux,None,68,Intel Xeon Phi,CINECA Cluster,CINECA Cluster,Omnipath,Intel Omni-Path,Southern Europe,Europe,47495,178937
19,13.0,49,61,TSUBAME3.0,"SGI ICE XA, IP139-SXM2, Xeon E5-2680v4 14C 2.4GHz, Intel Omni-Path, NVIDIA Tesla P100 SXM2","GSIC Center, Tokyo Institute of Technology",HPE,Japan,2017,Academic,135828,120736.0,8125.0,12127.069,2126208.0,,188.62,792.08,Optimized,10.258,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,SUSE Linux Enterprise Server 12 SP1,Linux,NVIDIA Tesla P100 NVLink,14,Intel Xeon E5 (Broadwell),"SGI ICE XA (HPE SGI 8600), IP139-SXM2",HPE SGI 8600,Omnipath,Intel Omni-Path,Eastern Asia,Asia,47912,179093
22,16.0,49,13,MareNostrum,"Lenovo SD530, Xeon Platinum 8160 24C 2.1GHz, Intel Omni-Path",Barcelona Supercomputing Center,Lenovo,Spain,2017,Academic,153216,,6470.8,10296.115,5990400.0,,122.242,1632.0,Submitted,3.965,Cluster,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,2100,SUSE Linux,Linux,None,24,Xeon Platinum,ThinkSystem SD530,Lenovo ThinkSystem,Omnipath,Intel Omni-Path,Southern Europe,Europe,49748,179067
29,20.0,45,7,Shaheen II,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ",King Abdullah University of Science and Technology,Cray Inc.,Saudi Arabia,2015,Academic,196608,,5536.99,7235.174,9738048.0,,113.868,2834.0,Submitted,1.954,MPP,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,2300,Cray Linux Environment ,Linux,None,16,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Western Asia,Asia,50205,178515
32,,51,32,ITO - Subsystem A,"Fujitsu PRIMERGY CX2550/CX2560 M4, Xeon Gold 6154 18C 3GHz, Mellanox InfiniBand EDR","Research Institute for Information Technology, Kyushu University",Fujitsu,Japan,2018,Academic,72000,,4540.69,6912.0,5753080.0,,,,,,Cluster,Xeon Gold 6154 18C 3GHz,Intel Skylake,3000,Redhat Enterprise Linux 7,Linux,None,18,Xeon Gold,Fujitsu PRIMERGY CX2550/CX2560 M4,Fujitsu PRIMERGY,Infiniband,Mellanox InfiniBand EDR,Eastern Asia,Asia,50421,179429
54,41.0,48,33,Camphor 2,"Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect ","Academic Center for Computing and Media Studies (ACCMS),  Kyoto University",Cray Inc.,Japan,2016,Academic,122400,,3057.35,5483.52,4579680.0,,,748.1,Submitted,4.087,MPP,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400,Cray Linux Environment ,Linux,None,68,Intel Xeon Phi,Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Eastern Asia,Asia,50516,178927
56,43.0,46,21,,"Fujitsu PRIMEHPC FX100, SPARC64 XIfx 32C 2.2GHz, Tofu interconnect 2","Information Technology Center, Nagoya University",Fujitsu,Japan,2015,Academic,92160,,2910.0,3244.032,3061760.0,,86.534,1382.4,Derived,2.105,Cluster,SPARC64 XIfx 32C 2.2GHz,Sparc,2200,Linux,Linux,None,32,SPARC64 XIfx,Fujitsu PRIMEHPC FX100,Fujitsu PRIMEHPC,Proprietary Network,Tofu interconnect 2,Eastern Asia,Asia,50495,178646
57,44.0,39,4,SuperMUC,"iDataPlex DX360M4, Xeon E5-2680 8C 2.70GHz, Infiniband FDR",Leibniz Rechenzentrum,IBM/Lenovo,Germany,2012,Academic,147456,,2897.0,3185.05,5201920.0,,83.3,3422.67,Submitted,0.846,Cluster,Xeon E5-2680 8C 2.7GHz,Intel SandyBridge,2700,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Western Europe,Europe,48248,177719
