Rank,Site,Manufacturer,Computer,Country,Year,Processors,RMax,RPeak,Nmax,Nhalf,Processor Family,Processor,Proc. Frequency,System Family,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
8,NCSA,Thinking Machines Corporation,CM-5/512,United States,1993,512,30.4,65.54,36864,16384,Sparc,SuperSPARC I,32.0,TMC CM5,CMOST,MPP,Academic,Not Specified,Fat Tree,"Hypercube, tree",North America,Americas
11,University of Tokyo,Hitachi,S-3800/480,Japan,1993,4,27.5,32.0,15020,870,Hitachi,Hitachi,500.0,Hitachi Vector,VOS3/HAP/ES (IBM MVS compatible) and OSF/1,SMP,Academic,Not Specified,,,Eastern Asia,Asia
13,Pittsburgh Supercomputing Center,Cray Inc.,T3D MC256-8,United States,1994,256,25.3,38.4,40960,4918,Alpha,Alpha EV4,149.9,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,North America,Americas
14,University of Edinburgh,Cray Inc.,T3D MC256-8,United Kingdom,1994,256,25.3,38.4,40960,4918,Alpha,Alpha EV4,149.9,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Northern Europe,Europe
17,Tohoku University,NEC,SX-3/44R,Japan,1993,4,23.2,25.6,6400,830,NEC,NEC,400.0,NEC Vector,Super-UX,SMP,Academic,Not Specified,Crossbar,Multi-stage crossbar,Eastern Asia,Asia
18,Institute for Materials Research/Tohoku University,Hitachi,S-3800/380,Japan,1994,3,21.3,24.0,15020,690,Hitachi,Hitachi,500.0,Hitachi Vector,VOS3/HAP/ES (IBM MVS compatible) and OSF/1,SMP,Academic,Not Specified,,,Eastern Asia,Asia
21,Caltech,Intel,XP/S35,United States,1994,512,15.2,26.0,23000,9000,Intel i860,Intel i860 Intel 80860,50.0,intel Paragon,OSF/1,MPP,Academic,Not Specified,,2-D mesh (torus),North America,Americas
26,Caltech,Intel,Delta,United States,1991,512,13.9,20.48,25000,7500,Intel i860,Intel i860 Intel 80860,40.0,intel Paragon,OSF/1,MPP,Academic,Not Specified,,,North America,Americas
43,Pittsburgh Supercomputing Center,Cray Inc.,Y-MP C916/16512,United States,1994,16,13.7,15.238,10000,650,Cray,Cray,238.1,Cray Vector,UNICOS,SMP,Academic,Not Specified,,,North America,Americas
46,Caltech/JPL,Cray Inc.,T3D SC128-2/264,United States,1994,128,12.8,19.2,20736,3408,Alpha,Alpha EV4,149.9,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,North America,Americas
50,Ecole Polytechnique Federale de Lausanne,Cray Inc.,T3D MC128-2,Switzerland,1994,128,12.8,19.2,20736,3408,Alpha,Alpha EV4,149.9,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Western Europe,Europe
53,University of Alaska - ARSC,Cray Inc.,T3D MC128-2,United States,1994,128,12.8,19.2,20736,3408,Alpha,Alpha EV4,149.9,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,North America,Americas
54,Cornell Theory Center,IBM,SP2/512,United States,1994,512,12.1,136.19,27000,6200,Power,POWER2,66.5,IBM SP,AIX,MPP,Academic,Not Specified,,,North America,Americas
60,UCSD/San Diego Supercomputer Center,Intel,XP/S30,United States,1993,400,11.9,20.0,0,0,Intel i860,Intel i860 Intel 80860,50.0,intel Paragon,OSF/1,MPP,Academic,Not Specified,,2-D mesh (torus),North America,Americas
88,CNRS/IDRIS,Cray Inc.,Y-MP C98/8512,France,1993,8,6.85,7.619,0,0,Cray,Cray,238.1,Cray Vector,UNICOS,SMP,Academic,Not Specified,,,Western Europe,Europe
95,UCSD/San Diego Supercomputer Center,Cray Inc.,Y-MP C98/8128,United States,1993,8,6.85,7.619,0,0,Cray,Cray,238.1,Cray Vector,UNICOS,SMP,Academic,Not Specified,,,North America,Americas
98,Leibniz Rechenzentrum,Kendall Square Research,KSR2-110,Germany,1994,110,6.38,8.8,0,0,KSR,KSR,40.0,KSR,KSR OS,MPP,Academic,Not Specified,,,Western Europe,Europe
103,Osaka University,NEC,SX-3/14R,Japan,1993,1,5.8,6.4,2816,282,NEC,NEC,400.0,NEC Vector,Super-UX,Single Processor,Academic,Not Specified,,,Eastern Asia,Asia
105,University of California at Berkeley,Thinking Machines Corporation,CM-5/96,United States,1994,96,5.7,12.29,0,0,Sparc,SuperSPARC I,32.0,TMC CM5,CMOST,MPP,Academic,Not Specified,Fat Tree,"Hypercube, tree",North America,Americas
106,Technische Universitaet Darmstadt,Fujitsu,VPP500/4,Germany,1994,4,5.6,6.4,7344,1250,Fujitsu,Fujitsu,100.0,Fujitsu VPP,UXP/V,MPP,Academic,Not Specified,Crossbar,Full distributed crossbar,Western Europe,Europe
107,Universitaet Aachen/RWTH,Fujitsu,VPP500/4,Germany,1993,4,5.6,6.4,7344,1250,Fujitsu,Fujitsu,100.0,Fujitsu VPP,UXP/V,MPP,Academic,Not Specified,Crossbar,Full distributed crossbar,Western Europe,Europe
108,Brandeis University,Thinking Machines Corporation,CM-2/64k,United States,1993,2048,5.2,14.0,26624,11000,TMC CM2,TMC CM2,7.0,TMC CM2,CMOST,SIMD,Academic,Not Specified,,,North America,Americas
109,Florida State University,Thinking Machines Corporation,CM-2/64k,United States,1993,2048,5.2,14.0,26624,11000,TMC CM2,TMC CM2,7.0,TMC CM2,CMOST,SIMD,Academic,Not Specified,,,North America,Americas
119,Cornell Theory Center,IBM,9076-004 SP1,United States,1993,64,4.8,8.0,26000,6000,Power,POWER1,62.5,IBM SP,AIX,MPP,Academic,Not Specified,,,North America,Americas
124,Purdue University,Intel,XP/S10,United States,1994,144,4.45,7.2,0,0,Intel i860,Intel i860 Intel 80860,50.0,intel Paragon,OSF/1,MPP,Academic,Not Specified,,2-D mesh (torus),North America,Americas
125,Hong Kong University of Science and Technology,Intel,XP/S10,Hong Kong,1994,140,4.33,7.0,0,0,Intel i860,Intel i860 Intel 80860,50.0,intel Paragon,OSF/1,MPP,Academic,Not Specified,,2-D mesh (torus),Eastern Asia,Asia
128,Queensland Parallel Supercomputing Facility,IBM,SP2/22,Australia,1994,22,4.19,5.852,0,0,Power,POWER2,66.5,IBM SP,AIX,MPP,Academic,Not Specified,,,Australia and New Zealand,Oceania
133,Kyoto University,Fujitsu,VP2600/20,Japan,1990,1,4.0,5.0,0,0,Fujitsu,Fujitsu,312.5,Fujitsu VP,Unix,Single Processor,Academic,Not Specified,,,Eastern Asia,Asia
134,Kyushu University,Fujitsu,VP2600/10,Japan,1992,1,4.0,5.0,0,0,Fujitsu,Fujitsu,312.5,Fujitsu VP,Unix,Single Processor,Academic,Not Specified,,,Eastern Asia,Asia
135,Nagoya University,Fujitsu,VP2600/10,Japan,1991,1,4.0,5.0,0,0,Fujitsu,Fujitsu,312.5,Fujitsu VP,Unix,Single Processor,Academic,Not Specified,,,Eastern Asia,Asia
140,Universitaet Aachen/RWTH,Fujitsu,S600/20,Germany,1991,1,4.0,5.0,0,0,Fujitsu,Fujitsu,312.5,Fujitsu VP,Unix,Single Processor,Academic,Not Specified,,,Western Europe,Europe
141,Universitaet Karlsruhe,Fujitsu,S600/20,Germany,1990,1,4.0,5.0,0,0,Fujitsu,Fujitsu,312.5,Fujitsu VP,Unix,Single Processor,Academic,Not Specified,,,Western Europe,Europe
143,University of Michigan,Kendall Square Research,KSR2-64,United States,1994,64,3.911,5.12,9216,3840,KSR,KSR,40.0,KSR,KSR OS,MPP,Academic,Not Specified,,,North America,Americas
