Rank,Site,Manufacturer,Computer,Country,Year,Processors,RMax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Proc. Frequency,System Family,System Model,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
36,Moscow State University - Research Computing Center,SKIF/T-Platforms,"T-Platforms T60, Intel Quadcore 3Mhz, Infiniband DDR",Russia,2008,5000,47170.0,60000.0,750000,0,265.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,T-Platforms Cluster,T-Platforms T60 Cluster,CentOS,Cluster,Academic,Research,Infiniband,Infiniband DDR,Eastern Europe,Europe
38,Texas Advanced Computing Center/Univ. of Texas,Dell,"PowerEdge 1955, 2.66 GHz, Infiniband",United States,2007,5848,46730.0,62220.0,1187200,0,0.0,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),2667,Dell PowerEdge Cluster,PowerEdge 1955,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,North America,Americas
39,HPC2N - Umea University,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.5 GHz, IB, Windows HPC 2008/CentOS",Sweden,2008,5376,46040.0,53760.0,1113600,150000,173.21,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2500,IBM Cluster,"BladeCenter HS21 Cluster, Xeon quad core",Windows HPC 2008,Cluster,Academic,Not Specified,Infiniband,Infiniband,Northern Europe,Europe
40,National Supercomputer Centre (NSC),Hewlett-Packard,"Cluster Platform 3000 DL140 Cluster, Xeon 2.33GHz Infiniband",Sweden,2007,6400,44460.0,59648.0,1203200,0,0.0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,HP Cluster Platform 3000,Cluster Platform 3000 DL140,Linux,Cluster,Academic,Research,Infiniband,Infiniband,Northern Europe,Europe
45,"Gdansk University of Technology, CI Task",ACTION,ACTION Cluster Xeon E5345 Infiniband,Poland,2008,5336,38170.0,49731.0,760000,0,0.0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,ACTION Cluster,ACTION Cluster,Linux,Cluster,Academic,Research,Infiniband,Infiniband DDR,Eastern Europe,Europe
47,University of Bergen,Cray Inc.,Cray XT4 QuadCore 2.3 GHz,Norway,2008,5548,36870.9,51041.6,0,0,0.0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,Cray XT,Cray XT4 QuadCore,CNL,MPP,Academic,Not Specified,Proprietary,XT4 Internal Interconnect,Northern Europe,Europe
51,ASTRON/University Groningen,IBM,Blue Gene/P Solution,Netherlands,2008,12288,35123.0,41779.2,0,0,94.5,Power,PowerPC 450,850,IBM BlueGene,BlueGene/P,CNK/SLES 9,MPP,Academic,Research,Proprietary,Proprietary,Western Europe,Europe
54,Louisiana Optical Network Initiative,Dell,"PowerEdge 1950, 2.33 GHz, Infiniband",United States,2007,5440,34780.0,50766.1,0,0,0.0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,Dell PowerEdge Cluster,PowerEdge 1950,RedHat Enterprise 4,Cluster,Academic,Research,Infiniband,Infiniband DDR,North America,Americas
56,Joint Supercomputer Center,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 53xx 3GHz, Infiniband",Russia,2007,3760,33885.1,45120.0,0,0,418.83,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),3000,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband DDR,Eastern Europe,Europe
57,National Institute for Computational Sciences/University of Tennessee,Cray Inc.,"Cray XT3, 2.6 GHz dual Core",United States,2008,7482,32826.0,38906.0,0,0,0.0,AMD x86_64,AMD x86_64 Opteron Dual Core,2600,Cray XT,Cray XT3,UNICOS/Linux,MPP,Academic,Research,Cray Interconnect,XT3 Internal Interconnect,North America,Americas
60,Harvard University - FAS Research Computing,Dell,"PowerEdge M600 Cluster, Xeon E5410 2.3Ghz, Infiniband",United States,2008,4096,32410.0,38175.0,1319648,0,0.0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2333,Dell PowerEdge Cluster,PowerEdge M600 Cluster,RedHat Enterprise 4,Cluster,Academic,Research,Infiniband,Infiniband,North America,Americas
61,University of Tromso,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 53xx 2.66GHz, GigEthernet",Norway,2007,5632,31864.0,59924.5,0,0,0.0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2667,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Academic,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
62,Clemson University,Dell,"PowerEdge 1950, Quad Core 2.33 GHz, Myrinet 10G",United States,2008,4096,31060.0,38175.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,Dell PowerEdge Cluster,PowerEdge 1950,Linux,Cluster,Academic,Not Specified,Myrinet,Myrinet 10G,North America,Americas
63,University of Southern California,Dell,"PowerEdge 1950, Quad Core 3.2 GHz, Myrinet 10G",United States,2008,4096,30990.0,52428.0,842000,0,0.0,Intel EM64T,Intel EM64T Xeon X54xx (Harpertown),3200,Dell PowerEdge Cluster,PowerEdge 1950,Linux,Cluster,Academic,Not Specified,Myrinet,Myrinet 10G,North America,Americas
66,University of Bristol,ClusterVision/IBM,"xSeries x3450 Cluster Xeon quad core, 2.8 GHz, Infiniband",United Kingdom,2008,3360,28775.0,37632.0,0,0,135.03,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2800,IBM Cluster,xSeries x3450 Cluster Xeon quad core,Linux,Cluster,Academic,Research,Infiniband,Infiniband,Northern Europe,Europe
67,University of North Carolina,Dell,"PowerEdge 1955, 2.33 GHz, Cisco/Topspin Infiniband",United States,2007,4160,28770.0,38821.1,0,0,0.0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,Dell PowerEdge Cluster,PowerEdge 1955,Linux,Cluster,Academic,Research,Infiniband,Infiniband SDR,North America,Americas
68,ASTRON/University Groningen,IBM,eServer Blue Gene Solution,Netherlands,2005,12288,27450.0,34406.4,516095,0,134.4,Power,PowerPC 440,700,IBM BlueGene,BlueGene/L,CNK/SLES 9,MPP,Academic,Research,Proprietary,Proprietary,Western Europe,Europe
70,CSC (Center for Scientific Computing),Cray Inc.,Cray XT4 QuadCore 2.3 GHz,Finland,2008,4032,26795.8,37094.4,0,0,0.0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,Cray XT,Cray XT4 QuadCore,CNL,MPP,Academic,Not Specified,Proprietary,XT4 Internal Interconnect,Northern Europe,Europe
71,HLRN at Universitaet Hannover / RRZN,SGI,"SGI Altix ICE 8200EX, Xeon quad core 3.0 GHz",Germany,2008,2560,26690.0,30720.0,767096,0,129.2,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,SGI Altix,SGI Altix ICE 8200,SLES10 + SGI ProPack 5,MPP,Academic,Not Specified,Infiniband,Infiniband,Western Europe,Europe
72,HLRN at ZIB/Konrad Zuse-Zentrum fuer Informationstechnik,SGI,"SGI Altix ICE 8200EX, Xeon quad core 3.0 GHz",Germany,2008,2560,26690.0,30720.0,767096,0,129.2,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,SGI Altix,SGI Altix ICE 8200,SLES10 + SGI ProPack 5,MPP,Academic,Not Specified,Infiniband,Infiniband,Western Europe,Europe
73,SARA (Stichting Academisch Rekencentrum),IBM,"Power 575, p6 4.7 GHz, Infiniband",Netherlands,2008,1536,23470.0,28876.8,768000,0,245.48,Power,POWER6,4700,IBM pSeries,pSeries 575,Linux,MPP,Academic,Not Specified,Infiniband,Infiniband,Western Europe,Europe
76,National Astronomical Observatory of Japan,Cray Inc.,Cray XT4 QuadCore 2.2 GHz,Japan,2008,3248,22740.0,28582.0,824640,0,0.0,AMD x86_64,AMD x86_64 Opteron Quad Core,2200,Cray XT,Cray XT4 QuadCore,CNL,MPP,Academic,Not Specified,Proprietary,XT4 Internal Interconnect,Eastern Asia,Asia
77,Caltech,Dell,"PowerEdge 1950, 2.33 GHz, Myrinet",United States,2007,4096,22590.0,37700.0,761392,0,0.0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,Dell PowerEdge Cluster,PowerEdge 1950,Linux,Cluster,Academic,Not Specified,Myrinet,Myrinet,North America,Americas
